Category,S.No,"Layout(Portrait-0,Landscape-1)","Gender(Male-0,Female-1,Both-2,None-3)","Language(Urdu-0,English-1,Both-2)","Size(Small-0,Medium-1,Large-2)","Crowded(Yes-1,No-0)","Visibility(Yes-1,No-0)","Contacts Details(Yes-1,No-0)","Discount((1-40)-0,(41-60)-1,(61-100)-2,(No Discount)-3)","Urgency(Yes-1,No-0)","Genre(Emotional-0,Funny-1,None-2)","Class Label(LV=0,V=1,MoreV=2,MostV=3)"
Grocery,468,1,1,1,1,0,1,0,3,0,2,1
Grocery,469,1,1,1,0,0,1,0,3,0,1,0
Grocery,470,0,2,1,1,0,1,0,3,0,0,2
Grocery,471,0,1,1,0,0,1,0,3,0,1,1
Grocery,472,0,3,1,0,0,1,0,3,0,2,1
Grocery,473,0,3,2,0,0,1,1,3,0,2,0
Grocery,474,0,3,1,1,0,1,0,3,0,2,2
Grocery,475,0,3,1,1,0,1,0,3,0,2,2
Grocery,476,1,2,1,0,0,0,0,3,0,1,0
Grocery,477,1,3,1,1,1,0,1,3,0,2,0
Grocery,478,1,1,1,0,0,0,0,3,0,1,0
Grocery,479,1,0,1,0,0,1,0,3,0,2,0
Grocery,480,1,1,1,0,0,1,0,3,0,1,1
Grocery,481,1,1,1,1,0,1,0,3,0,1,1
Grocery,482,1,3,1,0,1,1,1,3,0,2,3
Grocery,483,0,3,1,0,0,0,0,3,0,2,1
Grocery,484,0,1,1,0,0,1,0,0,0,1,1
Grocery,485,0,1,1,0,0,1,0,3,0,1,0
Grocery,486,1,3,1,0,0,1,0,3,0,2,1
Grocery,487,0,0,1,1,0,1,0,3,0,2,1
Grocery,488,1,0,1,1,1,1,0,1,1,1,1
Grocery,489,0,3,1,0,1,0,1,3,1,2,0
Grocery,490,0,2,1,0,0,0,0,3,0,1,0
Grocery,491,0,3,1,0,0,0,0,3,0,2,1
Grocery,492,0,3,1,1,1,1,1,3,0,2,3
Grocery,493,1,3,1,0,0,0,0,3,0,2,0
Grocery,494,1,3,1,0,0,0,0,3,0,2,1
Grocery,495,1,1,1,0,0,0,0,3,0,1,0
Grocery,496,1,3,1,0,0,0,0,3,0,2,1
Grocery,497,1,3,1,0,0,1,0,3,0,2,0
Grocery,498,0,3,1,0,0,1,0,3,0,2,0
Grocery,499,1,3,1,0,0,0,0,3,0,2,0
Grocery,500,1,2,2,1,0,1,0,3,0,1,1
